train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
2.439188,2.4284346,2.1029494,2.5786815,2.3086305,1.3767445,0.21131304,-0.12044859,0.23700269,0.53163517
-1.2277447,-0.1485046,-0.25355005,-0.3737239,0.25422898,-0.87477577,-0.55041915,0.37018135,0.2186389,0.17076817
0.69967484,-0.103944816,0.4700242,0.7937449,0.37167123,0.59308237,0.32781646,0.074491024,0.20458318,0.6363205
0.5043749,0.9794818,0.91378844,1.0676435,0.6463202,-0.49218208,-0.5322115,-0.6371084,-0.7303573,-0.69904286
-1.4753942,-2.1612134,-1.6542412,-1.4310555,-1.4727831,-1.3698373,-0.9199157,-0.37595484,-0.55707073,-0.2622075
-1.0433277,-2.06601,-2.6159365,-1.7121456,-1.4039599,-0.55691636,-0.62533814,-0.39808086,-0.19139826,-0.2800369
-1.183559,-2.672965,-2.8968043,-2.1572664,-2.020491,-0.50314873,-1.0319139,-0.7600971,-0.4142419,-0.45007417
-0.21517089,0.18803278,0.8245102,0.012430395,0.42943215,0.8683028,0.6836928,0.15437353,0.28069183,-0.023089014
0.97661567,-0.7708606,-0.9214509,-0.51615864,-0.92744017,0.12838337,0.20212689,-0.40998748,-0.12274267,-0.3603623
0.8521088,0.5882869,0.5034146,1.0405811,0.5291458,0.23998535,0.7758308,0.5888218,0.45516363,0.29728347
-1.6322787,-2.2976637,-1.8032739,-1.9335302,-2.1843522,-1.0995344,-0.9993397,-0.6477196,-0.09440512,0.2869421
-0.2849001,-1.0601829,-0.42577806,-0.43551123,-0.89308363,1.4597304,0.8577418,0.22319686,0.4605278,0.4910474
0.357851,0.0006675906,0.3843116,0.10466013,0.11219316,-1.7969809,-1.5202438,-1.3229532,-1.6364219,-1.617796
-1.2694467,-0.56174314,-1.2634904,-0.70365095,-0.6161509,0.33173937,0.5890429,0.29636258,0.042120744,0.31175572
-1.4495957,-0.6601822,-1.127602,-0.81988287,-0.5971935,-0.0056978837,-0.13158281,-0.19063468,0.23747675,0.09142436
-0.21238676,-0.45314845,-0.09575723,0.3453938,0.31143957,-1.8261702,-1.3440533,-0.7761379,-0.9859076,-0.92577773
0.37131652,0.60832745,0.5802641,1.1391988,1.0886943,0.6407849,0.8386418,0.18931621,0.6182816,0.46106815
