train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
1.7044045,0.3412981,0.046929758,-0.51408005,-0.27932104,0.2431945,-0.021743251,-0.56816334,-0.63072926,-0.17427683
2.338423,2.0988915,1.2337897,0.9085864,1.2169389,4.0955806,2.9562814,1.9156792,2.2201126,1.5220915
5.6418,2.5579348,1.5470592,1.2507098,1.6153431,2.9246225,1.2343111,0.978077,0.6393808,0.8050536
0.9509537,1.9041829,1.4180554,0.9463652,1.2283999,1.4170907,1.897955,1.4041214,1.4245825,1.3321627
0.21800148,0.7451138,-0.8177153,-0.4206378,-0.120972075,4.8969994,1.8279614,0.7207389,0.8909379,0.7748432
2.850576,0.95790327,-0.3018918,0.22996041,0.15961319,3.676346,0.87918043,0.38801327,0.09930058,0.053015806
0.70572424,-0.93920267,-0.32673025,-0.5519387,-0.68590057,-0.2216243,-0.17053898,0.26118228,0.32210708,0.028564459
3.844474,1.7427405,1.229003,1.1840378,1.2879872,2.7337224,1.5307807,0.95136976,0.8757766,0.6273448
2.5807292,1.2117798,0.37736067,0.029481597,0.56505185,3.4100764,2.1103477,0.5410729,0.87262213,1.1306779
2.4332936,-0.70329136,-0.4020974,-0.3957448,-0.32462803,2.9442232,1.650896,1.119013,1.5331992,1.5321795
2.2075038,1.4857361,-0.16783622,0.5052085,0.31064177,2.5250578,2.2182486,1.092995,1.0807488,0.91362494
-0.87630826,-0.13161713,-0.6232018,-1.1501942,-1.1075448,5.645271,3.298823,1.8712549,2.3187833,2.3371646
1.2333735,1.3651122,1.3712744,0.97052664,1.1167367,-0.95741665,0.04958831,0.44394338,0.16006275,0.24636054
2.473103,0.64160264,-0.07800962,-0.05090967,0.2562476,1.9100769,0.0804887,0.12076704,-0.6054921,-0.3111703
3.3995233,0.56871516,0.4252287,0.3053995,0.60058177,1.9600836,0.51006025,0.4735113,0.10358256,0.23993208
-0.9072128,-0.33363107,-0.60645646,-0.900988,-0.22237174,5.4834585,2.7193801,1.6247811,1.6518602,1.8299298
1.3966457,-0.28734162,0.79521143,-0.19438837,-0.48945075,2.7335334,2.3163018,1.390836,1.1607931,1.5945611
1.235622,-0.8605708,-0.9640799,-0.834158,-1.0985434,3.387936,1.4459623,1.107595,0.7004866,0.92981005
2.4806807,1.2157874,-0.0256417,0.1834633,0.5747576,3.8866503,2.7624986,2.125682,2.1933994,2.1956735
1.3646458,-1.0652962,-1.3317958,-1.4551741,-1.2765161,3.971621,0.80462617,0.31563392,0.30784467,0.25433686
1.708623,0.2620867,0.09027492,-0.110594,-0.16921823,3.568971,1.5127895,1.0913767,0.82221603,0.93911296
-1.520545,0.60542995,0.460832,-0.27655572,-0.5092659,3.679083,1.9458046,0.68496084,1.3235542,1.4797823
4.437884,1.7215265,0.60179263,1.0370513,0.84437156,5.7774563,2.6477942,1.1604618,1.8058449,1.503618
0.54591686,0.084258504,0.80398476,0.44460824,-0.18476018,6.206015,2.415756,1.3449674,1.5553805,1.808147
1.7761059,0.4417451,0.45012835,-0.086811714,-0.28728533,2.7878819,2.6462748,0.94989085,1.5301528,1.8363764
1.8883266,2.5627847,0.8628974,1.2669218,1.7128829,4.4469633,2.0958693,1.3839811,1.413066,1.4036295
3.0711262,1.0422612,0.77567494,0.8394397,0.8778932,1.5585035,1.1509961,-0.3321203,-0.3091703,0.07133621
