train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6),prediction
3.0656986,1.156378,1.2548367,1.7998366,1.0257325,1.9638534,1.9180174,0.59319144,0.8307709,0.5841893,3.0395591
-0.6606053,-1.1204373,-1.196983,-1.0403214,-0.8468612,2.7635207,1.727891,1.5467701,1.2667177,0.31458327,2.730595
1.2403,1.84481,0.4859213,0.12135397,0.64319026,0.98821867,0.30036938,0.20245522,0.15678157,-0.054349054,1.3707331
4.314693,1.493431,1.2981528,1.7561917,0.64624465,3.710627,2.212967,2.1615727,1.9562916,0.93743575,3.4299536
-0.35747948,-0.38173583,-1.0437769,0.016804116,0.52436215,2.5524092,1.0512867,1.2905942,0.845731,0.47594523,2.6047704
4.652802,3.9458086,2.3057213,2.4654467,1.6104119,0.013602835,-0.36723942,-0.2749746,-0.20498644,-0.18083458,0.4341246
2.5568547,1.8321601,0.74162954,1.7488383,0.5089424,3.0407689,0.85955805,1.3915755,1.1383705,0.4148215,2.4112747
-1.4904898,-0.94698685,-1.0652195,-0.3103109,-0.8538113,0.2431945,0.49243113,0.8598389,0.75026643,-0.100343235,1.5300823
1.8595909,2.4905577,1.7603184,1.4598165,0.9145418,4.0955806,1.6590755,1.9341412,1.6581676,0.81100124,3.1878247
3.8484704,2.533009,2.6590416,2.280752,1.5061674,2.9246225,1.6209807,1.4805281,1.0526885,0.81001604,3.176023
3.0564313,1.1201315,1.657705,0.702351,0.61782134,1.4170907,0.4905751,0.5100335,0.43827826,-0.030435758,1.6027968
-0.009577239,-0.57989156,-0.4960171,-0.8674755,-0.61330396,4.8969994,2.9056401,2.6588974,2.5589678,1.4408647,4.030859
1.7130674,0.30901784,0.45303592,0.01939475,0.6129934,3.676346,2.5231986,1.6754929,1.7137682,0.9003342,3.4657662
3.161536,1.1749018,0.901834,1.5003111,0.7553361,-0.2216243,-0.51932335,-1.0395263,-0.75416714,-0.70665663,-0.22987273
5.6077256,1.9311552,2.3507063,1.9088603,1.3206382,2.7337224,1.5477663,1.012284,0.875161,0.5715652,2.9249835
0.93858254,0.6972692,0.27936092,0.6101817,-0.25821963,3.4100764,2.4226313,1.5538672,1.6980191,1.1267267,3.639893
2.0200648,0.3568482,0.24983191,0.06439563,-0.11792457,2.9442232,1.0081536,1.3174014,1.3687794,0.63535625,2.7411118
2.7776587,1.2030039,1.0616808,1.3232223,0.0155318165,2.5250578,2.177434,1.155983,1.2826635,0.96580106,3.4479933
-1.6998205,-0.95035946,-0.30478922,-0.43688658,-0.9487078,5.645271,4.877501,3.2714202,3.7427714,2.3953552,6.1442184
3.882397,2.1649206,1.3488684,0.90575665,0.6945074,-0.95741665,-1.2453258,-0.71295905,-0.43323985,-0.69718426,-0.8523444
1.7890857,-0.23386787,0.6534337,0.7851333,0.6640352,1.9100769,-0.19847064,0.24842836,0.28969827,0.012908056,0.851588
1.5030375,1.2846353,0.6932675,0.9072845,0.3740114,1.9600836,3.03696,1.4345948,1.6428884,1.1948806,3.8813694
1.6554608,2.4818995,1.0429509,1.5119613,0.81831825,5.4834585,3.7350802,2.4831574,2.489781,1.842476,4.766512
1.6853806,0.93799156,0.662002,0.22824511,0.061979994,2.7335334,1.6034094,1.191612,1.7220429,0.5803567,2.9513614
-0.72723556,-0.0910716,-0.3692134,1.0045872,-0.40675923,3.387936,1.9888637,1.7704372,1.4128926,0.9397111,3.3856397
3.0171857,0.17344727,0.486878,0.38594064,0.1763456,3.8866503,1.9005675,1.6539365,1.8056008,1.5297117,3.8719783
2.3130844,0.43237048,0.35808834,0.09828195,0.11894952,3.971621,1.9164501,1.9516238,1.792124,0.80530554,3.2468271
3.0296779,2.0644794,2.185948,1.2375139,1.188048,3.568971,1.8001798,1.3820903,1.6755053,0.9260127,3.3308568
0.15147322,0.5028182,-0.21688955,-0.03186721,-0.43662187,3.679083,1.1956816,1.369786,1.358786,0.75790226,2.9658895
2.2886074,0.9477199,0.48475644,1.1829394,0.5328246,5.7774563,3.102969,3.1255248,2.4920673,1.6964127,4.3069596
-0.15739967,-0.4578002,-0.43571347,-0.35531425,0.010148499,6.206015,3.0700753,2.7121634,2.2427683,1.2467606,3.9377213
-0.82227945,0.87586623,-0.12890063,-0.4778031,-0.0032284798,2.7878819,0.58140963,0.5952977,0.9421524,0.7461734,2.5357409
3.656008,2.1008255,1.2599837,1.5722953,1.0008463,4.4469633,3.0382395,2.03958,2.0294583,1.3414865,4.001136
1.396348,-0.20958745,0.0331736,0.09170757,0.48512515,1.5585035,1.5679692,0.9760028,1.5702912,0.32173273,2.6874466
