train_lable,train(l=1),train(l=1.8),train(l=2.2),train(l=2.6),validation_lable,validation(l=1),validation(l=1.8),validation(l=2.2),validation(l=2.6)
3.8484704,2.1045036,2.579525,1.7047137,2.0284603,2.9246225,1.605371,1.2059505,1.8325409,1.6190441
3.0564313,1.6338557,0.5115359,0.21548419,0.7105651,1.4170907,0.34473076,-0.3716201,-0.28004232,0.21228147
-0.009577239,-0.4731559,-0.7679975,-0.24473052,-0.6683394,4.8969994,2.7887611,2.373141,1.7059199,2.6963856
1.7130674,0.96871924,0.610676,0.3759643,0.5885353,3.676346,2.1338737,1.0414327,1.0848745,2.0333178
3.161536,1.3000335,0.3301306,1.2575914,1.4457,-0.2216243,-0.75814205,-0.78286535,-0.59776783,-0.4725134
5.6077256,2.5458493,2.3460033,1.6158252,1.6215658,2.7337224,1.6413877,0.6775845,0.6682755,0.99028116
0.93858254,-0.14821254,-0.49895042,0.076000914,0.6600761,3.4100764,2.2725344,1.473468,1.3202631,1.2614323
2.0200648,-0.48663664,0.17022762,0.18934959,-0.11932162,2.9442232,1.0521533,0.28449303,1.4033463,1.1393518
2.7776587,-0.14525552,1.0976636,0.18610881,0.8416973,2.5250578,1.8505774,1.0244753,0.5709972,1.2174176
-1.6998205,-1.0998683,-0.94655,-0.8238315,-0.70219535,5.645271,4.668549,2.7006917,2.7319577,3.22663
3.882397,2.1832948,0.6434285,-0.29273814,0.72196364,-0.95741665,-1.274526,-0.5576552,-0.031525288,-0.41632172
1.7890857,0.31047693,0.0077491566,0.3980631,0.3885756,1.9100769,-0.14726564,1.6367868,1.0152419,0.45680755
1.5030375,0.58727086,1.9363489,0.6684142,0.6588595,1.9600836,3.0257828,0.83664006,1.387365,1.2484157
1.6554608,1.656041,0.30434927,0.934579,1.0925703,5.4834585,3.5266845,2.481832,2.5367131,2.1041653
1.6853806,0.6120348,-0.15607859,-0.28778628,-0.15038969,2.7335334,1.5165607,0.1018992,1.2816721,1.1811272
-0.72723556,-0.5719263,1.3676314,0.7268088,0.75697774,3.387936,2.149096,1.1698459,1.4410516,1.9058018
3.0171857,-0.042070568,0.77724785,0.61286676,0.3679012,3.8866503,2.1076925,0.44932878,1.2473496,1.6870681
2.3130844,-0.22280444,1.4134338,0.18599916,0.123923525,3.971621,2.0370731,0.82612073,1.6974255,1.9195645
3.0296779,1.4216511,2.1939528,0.38332665,0.8679261,3.568971,1.6812389,1.1389093,0.91006285,1.9515299
0.15147322,-0.36641407,-0.8690561,0.05581006,0.28525823,3.679083,1.2589402,0.8661223,1.1474186,1.3776424
2.2886074,1.0746782,0.71428657,0.21839078,0.6630463,5.7774563,3.0111823,1.6007165,3.052902,2.8379729
-0.15739967,0.6163882,0.4320129,-0.11334705,0.14081192,6.206015,3.0645518,3.1979349,2.4775562,2.7341332
-0.82227945,0.7459387,-0.67595404,0.2955303,-0.08826651,2.7878819,0.49996492,-0.1653337,0.3659232,1.0212862
3.656008,1.5258819,1.1249095,0.8837406,1.2088115,4.4469633,2.89543,1.903527,1.2809188,2.0709224
1.396348,0.6529695,0.628075,-0.0700049,0.16579817,1.5585035,1.2962508,1.2316841,0.56320983,1.0715481
